date,px_last,change,pct_change
3/31/24,316.65,4.02,1.28586508
2/29/24,312.63,2.11,0.679505346
1/31/24,310.52,-0.25,-0.080445345
12/31/23,310.77,-1.2,-0.38465237
11/30/23,311.97,-0.82,-0.262156719
10/31/23,312.79,0.39,0.124839949
9/30/23,312.4,0.87,0.279266844
8/31/23,311.53,1.37,0.441707506
7/31/23,310.16,1.89,0.613098907
6/30/23,308.27,2.92,0.956279679
5/31/23,305.35,3.87,1.283667242
4/30/23,301.48,4.14,1.392345463
3/31/23,297.34,3.88,1.322156342
2/28/23,293.46,0.65,0.221986954
1/31/23,292.81,-1.54,-0.523186683
12/31/22,294.35,-2.51,-0.845516405
11/30/22,296.86,-1.81,-0.606020022
10/31/22,298.67,-1.78,-0.592444666
9/30/22,300.45,-3.18,-1.047327339
8/31/22,303.63,-3.44,-1.120265737
7/31/22,307.07,-1.16,-0.376342342
6/30/22,308.23,1.8,0.587409849
5/31/22,306.43,4.77,1.581250414
4/30/22,301.66,6.65,2.254160876
3/31/22,295.01,7.81,2.719359331
2/28/22,287.2,5.22,1.85119512
1/31/22,281.98,3.38,1.213208902
12/31/21,278.6,2.57,0.931058218
11/30/21,276.03,2.37,0.86603815
10/31/21,273.66,2.21,0.814146252
9/30/21,271.45,2.65,0.985863095
8/31/21,268.8,3.28,1.235311841
7/31/21,265.52,4.34,1.661689256
6/30/21,261.18,5.72,2.239098098
5/31/21,255.46,5.63,2.253532402
4/30/21,249.83,5.6,2.292920608
3/31/21,244.23,5,2.090038875
2/28/21,239.23,2.78,1.175724255
1/31/21,236.45,2.07,0.883181159
12/31/20,234.38,2.05,0.882365601
11/30/20,232.33,2.51,1.092159081
10/31/20,229.82,3.01,1.32710198
9/30/20,226.81,2.75,1.227349817
8/31/20,224.06,2.48,1.119234588
7/31/20,221.58,1.76,0.800655081
6/30/20,219.82,1.33,0.608723511
5/31/20,218.49,1.25,0.575400479
4/30/20,217.24,2.04,0.94795539
3/31/20,215.2,1.98,0.928618328
2/29/20,213.22,0.82,0.38606403
1/31/20,212.4,0.16,0.075386355
12/31/19,212.24,0.13,0.061288954
11/30/19,212.11,0.14,0.066047082
10/31/19,211.97,0.09,0.042476874
9/30/19,211.88,0.18,0.08502598
8/31/19,211.7,0.36,0.17034163
7/31/19,211.34,0.75,0.356142267
6/30/19,210.59,1.24,0.592309529
5/31/19,209.35,1.66,0.79926814
4/30/19,207.69,1.91,0.928175722
3/31/19,205.78,1.35,0.660372744
2/28/19,204.43,0.23,0.112634672
1/31/19,204.2,-0.5,-0.244259893
12/31/18,204.7,-0.41,-0.19989274
11/30/18,205.11,-0.26,-0.126600769
10/31/18,205.37,0,0
9/30/18,205.37,0.04,0.019480836
8/31/18,205.33,0.38,0.185411076
7/31/18,204.95,0.91,0.445990982
6/30/18,204.04,1.59,0.785379106
5/31/18,202.45,1.84,0.917202532
4/30/18,200.61,2.04,1.02734552
3/31/18,198.57,1.67,0.848146267
2/28/18,196.9,0.79,0.402835144
1/31/18,196.11,0.26,0.132754659
12/31/17,195.85,0.4,0.204655922
11/30/17,195.45,0.37,0.189665778
10/31/17,195.08,0.26,0.133456524
9/30/17,194.82,0.47,0.241831747
8/31/17,194.35,0.84,0.434086094
7/31/17,193.51,1.24,0.644926406
6/30/17,192.27,1.73,0.907945838
5/31/17,190.54,2,1.060782858
4/30/17,188.54,2.01,1.077574653
3/31/17,186.53,1.51,0.816127986
2/28/17,185.02,0.36,0.194952886
1/31/17,184.66,0.26,0.140997831
12/31/16,184.4,0.17,0.092275959
11/30/16,184.23,0.21,0.114118031
10/31/16,184.02,0.08,0.043492443
9/30/16,183.94,0.29,0.157909066
8/31/16,183.65,0.63,0.344224675
7/31/16,183.02,1.11,0.610191853
6/30/16,181.91,1.57,0.870577797
5/31/16,180.34,1.85,1.036472632
4/30/16,178.49,1.89,1.070215176
3/31/16,176.6,1.32,0.753080785
2/29/16,175.28,0.25,0.142832657
1/31/16,175.03,-0.08,-0.045685569
12/31/15,175.11,-0.03,-0.017129154
11/30/15,175.14,0.09,0.051413882
10/31/15,175.05,0.01,0.00571298
9/30/15,175.04,0.1,0.057162456
8/31/15,174.94,0.44,0.252148997
7/31/15,174.5,1.05,0.605361776
6/30/15,173.45,1.6,0.931044516
5/31/15,171.85,1.88,1.106077543
4/30/15,169.97,1.88,1.11844845
3/31/15,168.09,1.46,0.876192762
2/28/15,166.63,0.38,0.228571429
1/31/15,166.25,-0.21,-0.126156434
12/31/14,166.46,-0.2,-0.1200048
11/30/14,166.66,-0.25,-0.149781319
10/31/14,166.91,-0.33,-0.197321215
9/30/14,167.24,-0.21,-0.12541057
8/31/14,167.45,0.31,0.185473256
7/31/14,167.14,0.93,0.559533121
,,,