id,date,rate_15_yr,rate_30_yr
1,2019-07-01,3.2025,3.765
2,2019-08-01,3.082,3.616
3,2019-09-01,3.115,3.605
4,2019-10-01,3.142,3.688
5,2019-11-01,3.1575,3.695
6,2019-12-01,3.1775,3.72
7,2020-01-01,3.072,3.624
8,2020-02-01,2.97,3.465
9,2020-03-01,2.885,3.45
10,2020-04-01,2.804,3.306
11,2020-05-01,2.6925,3.2325
12,2020-06-01,2.6025,3.1625
13,2020-07-01,2.52,3.016
14,2020-08-01,2.475,2.935
15,2020-09-01,2.385,2.89
16,2020-10-01,2.346,2.834
17,2020-11-01,2.305,2.765
18,2020-12-01,2.218,2.684
19,2021-01-01,2.2,2.735
20,2021-02-01,2.2375,2.81
21,2021-03-01,2.3925,3.0825
22,2021-04-01,2.364,3.06
23,2021-05-01,2.28,2.9625
24,2021-06-01,2.27,2.975
25,2021-07-01,2.18,2.868
26,2021-08-01,2.145,2.8425
27,2021-09-01,2.184,2.9
28,2021-10-01,2.3075,3.0675
29,2021-11-01,2.3575,3.0675
30,2021-12-01,2.348,3.098
31,2022-01-01,2.66,3.445
32,2022-02-01,2.9975,3.7625
33,2022-03-01,3.39,4.172
34,2022-04-01,4.215,4.9825
35,2022-05-01,4.435,5.23
36,2022-06-01,4.652,5.522
37,2022-07-01,4.6125,5.4125
38,2022-08-01,4.5625,5.2225
39,2022-09-01,5.35,6.112
40,2022-10-01,6.145,6.9
41,2022-11-01,6.1375,6.805
42,2022-12-01,5.668,6.364
43,2023-01-01,5.425,6.2725
44,2023-02-01,5.415,6.2575
45,2023-03-01,5.796,6.544
46,2023-04-01,5.6625,6.3425
47,2023-05-01,5.8075,6.425
48,2023-06-01,6.088,6.714
49,2023-07-01,6.1775,6.84
50,2023-08-01,6.43,7.072
51,2023-09-01,6.5725,7.2
52,2023-10-01,6.905,7.62
53,2023-11-01,6.766,7.442
54,2023-12-01,6.1375,6.815
55,2024-01-01,5.87,6.6425
56,2024-02-01,6.102,6.776
57,2024-03-01,6.175,6.82
58,2024-04-01,6.2625,6.9925
59,2024-05-01,6.346,7.06
60,2024-06-01,6.1875,6.9175
61,2024-07-01,6.156666667,6.87
62,2024-08-01,6.821,7.199
63,2024-09-01,6.844,7.219
64,2024-10-01,6.867,7.24
65,2024-11-01,6.89,7.261
66,2024-12-01,6.912,7.281
67,2025-01-01,6.936,7.303